robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot4,3,0,W,-8.46059992283951,-16.54320987654321,8.61111111111111,0,0
robot4,3,0,SW,9.217978395061728,0,0,0,0
robot4,3,-1,SW,10.185185185185183,0,0,0,0
robot4,3,-1,S,8.45679012345679,0,0,0,0
robot4,2,-1,S,-4.761728395061731,8.45679012345679,0,0,0
robot4,2,-1,SE,8.45679012345679,0,0,0,0
robot4,1,-1,SE,-4.761728395061731,8.45679012345679,0,0,0
robot4,0,-1,SE,8.45679012345679,0,0,0,0
robot4,0,-1,E,-3.172839506172841,0,0,8.50617283950617,0
robot2,-5,-5,NE,-0.30632716049382847,-7.623456790123457,-12.623456790123457,0,0
robot4,0,0,E,-4.761728395061731,-11.54320987654321,8.45679012345679,0,0
robot4,0,1,E,8.45679012345679,0,-4.761728395061731,0,0
robot4,0,1,NE,8.45679012345679,0,0,0,0
robot4,0,2,NE,-4.761728395061731,-11.54320987654321,8.45679012345679,0,0
robot4,1,2,NE,8.45679012345679,0,0,0,0
robot4,1,2,N,10.185185185185183,0,0,0,0
robot4,1,3,N,10.185185185185183,0,0,0,0
robot2,-4,-2,SE,8.564814814814813,0,0,0,0
robot4,2,3,N,-16.017746913580247,0,0,0,0
robot2,-4,-1,SE,-13.444444444444445,0,0,0,0
robot4,3,2,W,-2.3103587962962973,0,0,0,0
robot3,9,-3,N,0,0,0,0,0
robot4,4,0,W,10.570987654320987,0,0,0,0
robot4,4,-1,W,2.436728395061728,0,0,0,0
robot4,-8,7,NW,-132.8659722222222,-236.7435723801601,0,0,0
robot4,-6,3,W,-130.83796296296296,-61.541666666666664,-90.41435185185185,-110.03935185185185,-105.11557677469135
robot1,3,6,S,-10.28317901234568,-16.69753086419753,-41.388888888888886,-56.23456790123457,0
robot1,5,2,NW,-33.77918595679012,0.6639130015432073,-16.69753086419753,-21.69753086419753,-26.69753086419753
robot1,6,1,W,-2.1350308641975313,-8.549382716049383,6.450617283950617,0,0
robot1,5,1,W,-5.09765094521605,-11.234567901234568,-0.3593750000000009,0,0
robot1,5,0,SW,-2.1350308641975313,-8.549382716049383,-9.945216049382719,-3.0972222222222223,0
robot1,5,-1,SW,-2.1350308641975313,-4.794753086419751,-16.23456790123457,0,0
robot1,4,-1,S,-1.8302469135802468,-8.395061728395062,-13.395061728395062,6.604938271604938,0
robot4,-8,3,SW,-348.3863659878955,0,0,0,0
robot4,-9,3,SW,-6.234567901234568,-11.234567901234568,-26.23456790123457,0,0
robot1,3,-1,S,-1.8302469135802468,-8.395061728395062,-13.395061728395062,-6.723765432098766,0
robot3,9,-6,E,-3.333333333333334,-1634.1967255504987,-13.333333333333334,-18.333333333333336,-318.2266984049479
robot1,0,0,S,-1.5254629629629624,-8.24074074074074,-13.24074074074074,6.913580246913581,0
robot1,-1,0,S,-1.2206790123456779,-8.08641975308642,-13.08641975308642,-18.086419753086417,7.0679012345679
robot1,-2,0,S,-0.9158950617283974,-7.9320987654321,-12.9320987654321,7.222222222222223,0
robot1,-3,0,S,-0.6111111111111089,-7.777777777777777,7.222222222222223,0,0
robot1,-3,0,SE,7.376543209876543,0,0,0,0
robot1,-4,0,SE,8.719135802469136,0,0,0,0
robot1,-4,1,SE,-0.0015432098765435498,-7.469135802469136,7.530864197530864,0,0
robot1,-4,1,E,2.530864197530864,0,0,0,0
robot1,6,5,W,-6.56766975308642,7.993827160493826,0,0,0
robot1,6,4,W,-3.6128761574074097,-0.6203703703703698,0,0,0
robot1,6,4,SW,7.993827160493826,0,0,0,0
